venta_id,fecha,local_id,producto_id,unidades_vendidas,precio_unitario_aplicado,importe_total
1,01/08/2024,1,1,1,"7,5","7,5"
2,01/08/2024,1,3,2,"13,5",27
3,01/08/2024,1,6,1,"12,5","12,5"
4,01/08/2024,1,7,2,"12,9","25,8"
5,01/08/2024,1,9,3,"13,9","41,7"
6,01/08/2024,1,10,2,"13,5",27
7,01/08/2024,1,11,2,"14,9","29,8"
8,01/08/2024,1,12,1,"13,9","13,9"
9,01/08/2024,1,13,2,"12,5",25
10,01/08/2024,1,14,2,"9,9","19,8"
11,01/08/2024,1,15,3,"11,5","34,5"
12,01/08/2024,1,17,4,"12,5",50
13,01/08/2024,1,18,3,"12,2","36,6"
14,01/08/2024,1,19,2,"15,9","31,8"
15,01/08/2024,1,20,2,"16,9","33,8"
16,01/08/2024,1,21,1,"21,9","21,9"
17,01/08/2024,1,23,2,"15,9","31,8"
18,01/08/2024,1,25,2,"18,9","37,8"
19,01/08/2024,1,28,2,"6,2","12,4"
20,01/08/2024,1,30,2,"6,5",13
21,01/08/2024,1,31,2,"5,9","11,8"
22,01/08/2024,1,32,1,"3,5","3,5"
23,01/08/2024,1,33,3,"4,9","14,7"
24,01/08/2024,1,34,2,22,44
25,01/08/2024,1,35,3,"3,9","11,7"
26,01/08/2024,1,36,3,"3,2","9,6"
27,01/08/2024,1,37,2,"1,8","3,6"
28,01/08/2024,1,38,3,"3,5","10,5"
29,02/08/2024,1,6,1,"12,5","12,5"
30,02/08/2024,1,8,3,"15,9","47,7"
31,02/08/2024,1,9,5,"13,9","69,5"
32,02/08/2024,1,11,1,"14,9","14,9"
33,02/08/2024,1,14,1,"9,9","9,9"
34,02/08/2024,1,15,2,"11,5",23
35,02/08/2024,1,16,1,"12,9","12,9"
36,02/08/2024,1,17,3,"12,5","37,5"
37,02/08/2024,1,18,1,"12,2","12,2"
38,02/08/2024,1,19,3,"15,9","47,7"
39,02/08/2024,1,20,1,"16,9","16,9"
40,02/08/2024,1,21,2,"21,9","43,8"
41,02/08/2024,1,22,2,"23,9","47,8"
42,02/08/2024,1,23,2,"23,9","47,8"
43,02/08/2024,1,24,2,"19,9","39,8"
44,02/08/2024,1,28,1,"6,2","6,2"
45,02/08/2024,1,29,2,"6,9","13,8"
46,02/08/2024,1,30,1,"6,5","6,5"
47,02/08/2024,1,31,1,"5,9","5,9"
48,02/08/2024,1,32,3,"3,5","10,5"
49,02/08/2024,1,33,1,"4,9","4,9"
50,02/08/2024,1,34,3,22,66
51,02/08/2024,1,36,1,"3,2","3,2"
52,02/08/2024,1,37,5,"1,8",9
53,02/08/2024,1,38,3,"3,5","10,5"
54,03/08/2024,1,1,1,"7,5","7,5"
55,03/08/2024,1,2,2,"11,9","23,8"
56,03/08/2024,1,3,1,"13,5","13,5"
57,03/08/2024,1,5,1,"10,9","10,9"
58,03/08/2024,1,6,1,"12,5","12,5"
59,03/08/2024,1,8,1,"15,9","15,9"
60,03/08/2024,1,11,1,"14,9","14,9"
61,03/08/2024,1,12,2,"13,9","27,8"
62,03/08/2024,1,14,7,"9,9","69,3"
63,03/08/2024,1,15,1,"11,5","11,5"
64,03/08/2024,1,16,4,"12,9","51,6"
65,03/08/2024,1,17,2,"12,5",25
66,03/08/2024,1,18,4,"12,2","48,8"
67,03/08/2024,1,22,3,"23,9","71,7"
68,03/08/2024,1,23,2,"15,9","31,8"
69,03/08/2024,1,26,2,"16,5",33
70,03/08/2024,1,27,1,"6,5","6,5"
71,03/08/2024,1,29,3,"6,9","20,7"
72,03/08/2024,1,31,1,"5,9","5,9"
73,03/08/2024,1,32,1,"3,5","3,5"
74,03/08/2024,1,33,3,"4,9","14,7"
75,03/08/2024,1,34,4,22,88
76,03/08/2024,1,35,6,"3,9","23,4"
77,03/08/2024,1,36,3,"3,2","9,6"
78,03/08/2024,1,37,6,"1,8","10,8"
