producto_id,nombre,categoria,precio_venta,coste_unitario,margen_pct
1,Bruschetta clásica,Entrantes,"7,5","2,1","0,7200"
2,Burrata con tomate confitado,Entrantes,"11,9","4,1","0,6555"
3,Carpaccio de ternera,Entrantes,"13,5","4,7","0,6510"
4,Tabla de embutidos italianos,Entrantes,"15,9","5,9","0,6289"
5,"Ensalada Bracet (burrata, rúcula, nueces)",Entrantes,"10,9","3,6","0,6697"
6,Vitello tonnato,Entrantes,"12,5","4,8","0,6160"
7,Spaghetti carbonara,Pasta,"12,9","3,4","0,7364"
8,Spaghetti alle vongole,Pasta,"15,9","5,6","0,6478"
9,Tagliatelle al ragù,Pasta,"13,9","4,1","0,7050"
10,Ravioli de ricotta y espinacas,Pasta,"13,5","4,3","0,6815"
11,Risotto de setas porcini,Pasta,"14,9","5,2","0,6510"
12,Lasagna della casa,Pasta,"13,9","4,5","0,6763"
13,Gnocchi al pesto genovese,Pasta,"12,5","3,7","0,7040"
14,Pizza Margherita,Pizza,"9,9","2,3","0,7677"
15,Pizza Diavola,Pizza,"11,5","2,9","0,7478"
16,Pizza Quattro Formaggi,Pizza,"12,9","3,8","0,7054"
17,Pizza Prosciutto e Funghi,Pizza,"12,5","3,5","0,7200"
18,Pizza Tonno e Cipolla,Pizza,"12,2","3,3","0,7295"
19,"Pizza Bracet (burrata, trufa)",Pizza,"15,9","5,4","0,6604"
20,Escalopa a la milanesa,Principales,"16,9","5,9","0,6509"
21,Osso buco con risotto,Principales,"21,9","8,3","0,6210"
22,Entrecot a la parrilla,Principales,"23,9","10,5","0,5607"
23,Pollo al limone,Principales,"15,9","5,2","0,6730"
24,Lubina al horno,Pescados,"19,9","7,9","0,6030"
25,Bacalao a la ligure,Pescados,"18,9","7,2","0,6190"
26,Menú del día (entrante+principal+postre),Menú del día,"16,5","5,8","0,6485"
27,Tiramisú,Postres,"6,5","1,6","0,7538"
28,Panna cotta con frutos rojos,Postres,"6,2","1,5","0,7581"
29,Cannoli sicilianos,Postres,"6,9","1,7","0,7536"
30,Tarta de queso al horno,Postres,"6,5","1,6","0,7538"
31,Affogato al caffè,Postres,"5,9","1,3","0,7797"
32,Agua mineral 75cl,Bebidas,"3,5","0,5","0,8571"
33,Copa de vino Chianti,Bebidas,"4,9","1,2","0,7551"
34,Botella de vino Montepulciano,Bebidas,22,"7,5","0,6591"
35,Cerveza Peroni,Bebidas,"3,9",1,"0,7436"
36,Refresco,Bebidas,"3,2","0,7","0,7812"
37,Café espresso,Bebidas,"1,8","0,3","0,8333"
38,Limoncello (chupito),Bebidas,"3,5","0,6","0,8286"
