venta_id,fecha,local_id,producto_id,unidades_vendidas,precio_unitario_aplicado,importe_total
41247,2026-05-29,2,10,5,13.5,67.5
11263,2025-07-25,1,1,1,7.5,7.5
61896,2026-05-07,3,24,1,19.9,19.9
66775,2024-09-30,4,20,3,16.9,50.7
63887,2026-07-08,3,31,1,5.9,5.9
3660,2024-11-28,1,27,3,6.5,19.5
33072,2025-08-13,2,37,2,1.8,3.6
56671,2025-11-02,3,1,2,7.5,15.0
1529,2024-09-23,1,19,1,15.9,15.9
69185,2025-01-03,4,28,1,6.2,6.2
88389,2024-10-01,5,35,3,3.9,11.7
11726,2025-08-09,1,31,2,5.9,11.8
71977,2025-04-26,4,37,9,1.8,16.2
70625,2025-03-08,4,37,2,1.8,3.6
50068,2025-04-04,3,32,4,3.5,14.0
81291,2026-03-04,4,9,2,13.9,27.8
36088,2025-11-29,2,36,7,3.2,22.4
22477,2026-07-11,1,2,1,11.9,11.9
65616,2024-08-27,4,30,2,6.5,13.0
108199,2026-06-27,5,10,5,13.5,67.5
79268,2025-12-09,4,33,2,4.9,9.8
114998,2025-09-26,6,4,3,15.9,47.7
16658,2026-01-10,1,34,4,22.0,88.0
18092,2026-02-26,1,2,1,11.9,11.9
42311,2026-07-05,2,21,1,21.9,21.9
32437,2025-07-18,2,37,1,1.8,1.8
35213,2025-10-30,2,11,3,14.9,44.7
93402,2025-03-29,5,12,4,13.9,55.6
70561,2025-03-06,4,26,1,16.5,16.5
7582,2025-03-31,1,33,2,4.9,9.8
35701,2025-11-16,2,15,1,11.5,11.5
61262,2026-04-17,3,8,3,15.9,47.7
101652,2025-11-23,5,31,1,5.9,5.9
32056,2025-07-04,2,18,4,12.2,48.8
41569,2026-06-09,2,16,1,12.9,12.9
43601,2024-08-18,3,17,1,12.5,12.5
32223,2025-07-10,2,29,2,6.9,13.8
107952,2026-06-20,5,14,3,9.9,29.7
48882,2025-02-21,3,37,3,1.8,5.4
73289,2025-06-06,4,27,4,6.5,26.0
29332,2025-03-31,2,15,3,11.5,34.5
96269,2025-06-21,5,18,6,12.2,73.2
36196,2025-12-03,2,33,4,4.9,19.6
3620,2024-11-27,1,21,3,21.9,65.7
76787,2025-09-11,4,17,3,12.5,37.5
121850,2026-05-31,6,5,1,10.9,10.9
121076,2026-05-05,6,22,2,23.9,47.8
117743,2026-01-01,6,9,2,13.9,27.8
42641,2026-07-17,2,23,1,15.9,15.9
77586,2025-10-05,4,25,1,18.9,18.9
83287,2026-05-11,4,33,3,4.9,14.7
31695,2025-06-21,2,23,2,15.9,31.8
21048,2026-05-28,1,2,1,11.9,11.9
121122,2026-05-07,6,4,2,15.9,31.8
96067,2025-06-16,5,2,1,11.9,11.9
101246,2025-11-08,5,35,5,3.9,19.5
31816,2025-06-25,2,32,3,3.5,10.5
35142,2025-10-27,2,19,2,15.9,31.8
31465,2025-06-13,2,18,2,12.2,24.4
58307,2025-12-29,3,8,4,15.9,63.6
76056,2025-08-21,4,35,9,3.9,35.1
80449,2026-01-26,4,30,1,6.5,6.5
79883,2026-01-01,4,22,1,23.9,23.9
46215,2024-11-15,3,5,1,10.9,10.9
86825,2024-08-19,5,20,3,16.9,50.7
15490,2025-12-06,1,34,6,22.0,132.0
2752,2024-10-31,1,26,1,16.5,16.5
76625,2025-09-06,4,28,4,,24.8
60222,2026-03-12,3,18,2,12.2,24.4
14186,2025-10-27,1,30,3,,19.5
69539,2025-01-21,4,8,2,15.9,31.8
20845,2026-05-21,1,31,2,5.9,11.8
80567,2026-01-31,4,33,1,4.9,4.9
63146,2026-06-15,3,38,6,3.5,21.0
92939,2025-03-13,5,8,2,15.9,31.8
92694,2025-03-04,5,20,3,16.9,50.7
90410,2024-12-10,5,18,1,12.2,12.2
62668,2026-05-31,3,24,3,19.9,59.7
111704,2025-06-12,6,22,1,23.9,23.9
23310,2024-08-08,2,18,1,12.2,12.2
82375,2026-04-13,4,11,3,14.9,44.7
110243,2025-04-19,6,34,1,22.0,22.0
61315,2026-04-18,3,27,3,6.5,19.5
65094,2024-08-13,4,17,4,12.5,50.0
61040,2026-04-09,3,23,2,15.9,31.8
62511,2026-05-27,3,1,1,7.5,7.5
30298,2025-05-03,2,25,1,18.9,18.9
58725,2026-01-14,3,37,1,1.8,1.8
59304,2026-02-05,3,16,5,12.9,64.5
45872,2024-11-01,3,34,2,22.0,44.0
90940,2024-12-27,5,30,2,6.5,13.0
107618,2026-06-11,5,14,2,9.9,19.8
90487,2024-12-12,5,35,5,3.9,19.5
